SteamID,Status,DiscordID,Username,DisplayName,Name,ImageURL,Twitter,Twitch,Youtube,ORIClanTag,ORIClanDisplayName,NOWClanTag,NOWClanDisplayName,TouboFlag,WebFlag,QCModal,QCMap
76561198842270943,Added,977640463890780160,sirookami0813,寂狼,寂狼,https://pbs.twimg.com/profile_images/1900332829965475840/ihTIy0nN_400x400.jpg,https://x.com/Shirou__vt,https://www.twitch.tv/shirou_vs,,,福岡,null,,,false,,
76561198845404513,Added,454495636528562224,miyakani,みやかに,みやかに,https://pbs.twimg.com/profile_images/1861784463061221376/uUyAexKj_400x400.jpg,https://x.com/miyakani_ttv,https://www.twitch.tv/miyakani,,,福岡,tokyo,東京,true,false,false,false
76561199021305303,Added,670240012104892418,tinpropc,tinproPC,ちんぷろ,https://pbs.twimg.com/profile_images/1878957928381816834/L602L3BM_400x400.jpg,https://x.com/tinpro_touketu,,https://www.youtube.com/@TinproCoDmobile,,福島,FKSM,福島,,true,true,true
76561198812965949,Added,,,Hajimaru,Hajimaru,https://pbs.twimg.com/profile_images/1612311358661603330/to7PkEiA_400x400.jpg,https://x.com/hazy_hj,https://www.twitch.tv/hajimaruu,,,福島,FKSM,福島,,true,true,true
76561198452501536,Added,,,NFX Yurina,Yurina,https://pbs.twimg.com/profile_images/1896403020381876224/Al2NTRKb_400x400.jpg,https://x.com/NFX_Yurina,,,,福島,FKSM,福島,,true,true,true
76561199252593344,Added,644818378590257153,hase0001,はせ,はせさま,https://pbs.twimg.com/profile_images/1677687505615994885/i-9CmHlW_400x400.jpg,https://x.com/Veinfxx,https://www.twitch.tv/hasenpaii,,,福島,FKSM,福島,,true,true,true
76561198976089095,Added,837997904680976396,arichopi,ありちょぴ,ありちょぴ,https://pbs.twimg.com/profile_images/1884836559310262272/2xujWcux_400x400.jpg,https://x.com/BTJ_arichopi,https://www.twitch.tv/arichopi,https://www.youtube.com/@arichopi,,秋田,AKITA,秋田,,true,true,true
76561198858409385,Added,1094194519278358678,totoragemuzu,ととらげ～むず/jaye,ととらげ～むず,https://pbs.twimg.com/profile_images/1885482621922402304/vii0JELN_400x400.jpg,https://x.com/GamesTotora,,https://www.youtube.com/@totoragames9999,,秋田,AKITA,秋田,,true,true,true
76561198177024646,Added,425338886244532224,lemon_doshibori,どしぼりレモン,どしぼりレモン,https://pbs.twimg.com/profile_images/1670971352197763072/WpGC-M-Q_400x400.jpg,https://x.com/lemon_doshibori,https://www.twitch.tv/lemon_doshibori,,,秋田,AKITA,秋田,,true,true,true
76561199185332495,Added,437203640957272066,ailu029,天翼あいる,天翼あいる,https://pbs.twimg.com/profile_images/1727141258483859456/X5M28Q7W_400x400.jpg,https://x.com/_aruhinokoto,https://www.twitch.tv/amaha_ailu,https://www.youtube.com/@amaha_ailu_V,,群馬,GUNMA,群馬,,true,true,true
76561198826884023,Added,429602379219075074,nicochin_ttv,ニコチン兄貴,ニコチン兄貴,https://pbs.twimg.com/profile_images/1817041727208980480/hQ1T8_qi_400x400.jpg,https://x.com/nicochin_TTV,https://www.twitch.tv/nicochin_TTV,,,群馬,GUNMA,群馬,,true,true,true
76561198400467035,Added,348111867979366404,ha8te_jp,酒カスのHa8te,Ha8te,https://pbs.twimg.com/profile_images/1770087385675812865/0NlN6WvC_400x400.jpg,https://x.com/Ha8te_jp,,https://www.youtube.com/channel/UC3hu9iTYyzkO6Y85fe1fU3g,,群馬,GUNMA,群馬,,true,true,true
76561198073046831,Added,860718107168735242,yaginomori_satie,山羊森サティ,山羊森サティ,https://pbs.twimg.com/profile_images/1841678198087864320/ud29opEJ_400x400.jpg,https://x.com/yaginomorideath,https://www.twitch.tv/yaginomori_satie,https://www.youtube.com/@yaginomorideath,,茨城,TOTIGI,栃木,,true,true,true
76561198010170109,Added,763766199355441169,yukinosukeee,ゆきのすけ,ゆきのすけ,https://pbs.twimg.com/profile_images/1324970827905839105/Ui8vWqVS_400x400.jpg,https://x.com/Yukisuke_vtuber,,https://www.youtube.com/@yukisuke_vtuber,,茨城,TOTIGI,栃木,,true,true,true
76561198319194311,Added,356780711845298176,hibiki3,さくらい　ひびき,桜井響,https://pbs.twimg.com/profile_images/1642207815690510336/pe0gleyb_400x400.jpg,https://x.com/em_lightning,https://www.twitch.tv/sakuraihibiki,,,茨城,TOTIGI,栃木,,true,true,true
76561199087703916,Added,404932156507291648,mugicha__,むぎちゃ,むぎちゃ,https://pbs.twimg.com/profile_images/1816078239548465152/dHCbSkok_400x400.jpg,https://x.com/GGmugiti,https://www.twitch.tv/ggmugicha,,,長崎,OKNW,沖縄,,true,true,true
76561198260522611,Added,243603135199838208,rustn38,らすとん,らすとん,https://pbs.twimg.com/profile_images/1418292832175984641/OLZy6jlo_400x400.jpg,https://x.com/RustN38,https://www.twitch.tv/rustn38,,,長崎,OKNW,沖縄,,true,true,true
76561199122370966,Added,792396268341166080,moai_nosuke,のすけ🗿,のすけ,https://pbs.twimg.com/profile_images/1469934997674946561/_L2sQPjr_400x400.jpg,https://x.com/NoNoNoSuKeGnR,https://www.twitch.tv/nosuke_96,,,長崎,OKNW,沖縄,,true,true,true
76561199084098657,Added,700394418011766934,seraseiruvtuber,セラセイル,セラセイル,https://pbs.twimg.com/profile_images/1709620224016945152/kJgZog_W_400x400.jpg,https://x.com/seraseiru_vvv,https://www.twitch.tv/seraseiru0812,,,長野,FKSM,福島,,true,true,true
76561198262827298,Added,1102130925967507488,sefi46177,せふぃあ,SeFi4,https://pbs.twimg.com/profile_images/1082244100663853056/4SQV3SPy_400x400.jpg,https://x.com/SeFi4game,https://www.twitch.tv/sefi4tv,,,長野,FKSM,福島,,true,true,true
76561198410289503,Added,875015533794312252,ionserenade,!イオン・セレナーデ,イオン・セレナーデ,https://pbs.twimg.com/profile_images/1672887433590095872/DCJwJxVs_400x400.jpg,https://x.com/Ion_Serenade_VT,,https://www.youtube.com/c/ionserenade,,長野,FKSM,福島,,true,true,true
76561198898908609,Added,461147645839147008,zqkurp,青髪ザクロ,青髪ザクロ,https://pbs.twimg.com/profile_images/1641460616748736512/CmuKBGIh_400x400.jpg,https://x.com/zqkurp,https://www.twitch.tv/aogamilzakuro,,,青森,aomori,青森,,true,true,true
76561199131181638,Added,444054231490494476,mikeneko1215,三毛猫,三毛猫,https://pbs.twimg.com/profile_images/1774981487559127040/uxJ3AXvq_400x400.jpg,https://x.com/39neko0525,https://www.twitch.tv/39neko0525,,,青森,aomori,青森,,true,true,true
76561199071943122,Added,740875681264566312,bossboseu.,BOSSKR,BOSS,https://pbs.twimg.com/profile_images/1699340498346156032/jAY9YnS5_400x400.jpg,https://x.com/Niji__BoSs,,,,青森,aomori,青森,,true,true,true
76561199092727677,Added,763242241585840138,altra_sagara,サガラ,サガラ,https://pbs.twimg.com/profile_images/1694577197540163584/zjCD9K6A_400x400.jpg,https://x.com/game_sagara,https://www.twitch.tv/altra_sagara,,,静岡,TOTIGI,栃木,,true,true,true
76561199061415606,Added,,,ウィリアムなおきち,ウィリアムなおきち,https://pbs.twimg.com/profile_images/1662826337168654336/WF5ECH2M_400x400.jpg,https://x.com/wiliam_naokichi,https://www.twitch.tv/william_naokichi,,,静岡,TOTIGI,栃木,,true,true,true
76561198821058213,Added,1130396801728516156,sh1nju3345,シンジュ,シンジュ,https://pbs.twimg.com/profile_images/1898960115220492288/8CJ4umNT_400x400.jpg,https://x.com/Sh1nju3345,https://www.twitch.tv/sh1nju3345,,,香川,Kochi,高知,,true,true,true
76561198879717433,Added,834741401542721536,kamonegi_noob,カモネギ,かもねぎ,https://pbs.twimg.com/profile_images/1892908133913415680/y_oune6q_400x400.jpg,https://x.com/kamoneginoob,https://www.twitch.tv/kamonegitwitch,,,香川,Kochi,高知,,true,true,true
76561198986624725,Added,550249786960248852,anti_hero5,ひこちゃ,ひこちゃ,https://pbs.twimg.com/profile_images/1330797728847196163/vmzrZDcc_400x400.jpg,https://x.com/greentea05mss,https://www.twitch.tv/hikocha_05,,,香川,Kochi,高知,,true,true,true
76561199022161510,Added,594828386233221133,seinrax,セイン,セイン,https://pbs.twimg.com/profile_images/1868406136606777344/ggQ6tEXP_400x400.jpg,https://x.com/SeinRax,https://www.twitch.tv/sein_rax,https://www.youtube.com/@SeinRax,,高知,Kochi,高知,,true,true,true
76561198018123346,Added,273466652501344257,lavi_taka,Lavi,Lavi,https://pbs.twimg.com/profile_images/1858164781473288192/F4E_qTim_400x400.jpg,https://x.com/Lavi_Typhon,https://www.twitch.tv/lavi_typhon,,,高知,Kochi,高知,,true,true,true
76561199064059139,Added,708620905546383472,fe_luca,Luca黒蜜糖,Luca,https://pbs.twimg.com/profile_images/1834025922401636352/Wp_rQeZ8_400x400.jpg,https://x.com/GameWome,https://www.twitch.tv/fe_lucacy,https://www.youtube.com/@Lucacy,,高知,Kochi,高知,,true,true,true
76561199246021530,Added,650112896877068288,takitsuba_,タキツバ,やっくん,https://pbs.twimg.com/profile_images/1900303689278971904/Vtms3EGz_400x400.jpg,https://x.com/yakkun8888,,,,鳥取,wkym,和歌山,true,false,false,false
76561199388743305,Added,1155064330191126619,reaper_dayo,りぱ,りーぱー,https://pbs.twimg.com/profile_images/1827475015878787072/X_EggJej_400x400.jpg,https://x.com/_re4p3R,https://www.twitch.tv/re4p3r_ttv,,,鳥取,Osaka,大阪,,true,true,true
76561198978502227,Added,306384089383043074,debiru55,debiru,debiru,https://pbs.twimg.com/profile_images/1074321821468581888/1cSCtqNI_400x400.jpg,https://x.com/debiru_lol,https://www.twitch.tv/cuteemonduty,,,鳥取,Osaka,大阪,,true,true,true
76561199000923659,Added,588735674908278824,yusari.,ユサリン,ユサリン,https://pbs.twimg.com/profile_images/1715348143272026112/OFPTQL9U_400x400.jpg,https://x.com/yusarin_,,https://www.youtube.com/channel/UC5cB3_RyPk2cfbAo3G7llJw,,鳥取,Osaka,大阪,,true,true,true
76561199253218130,Added,957182169141358622,c6neco,sironeco,46猫,https://pbs.twimg.com/profile_images/1817426596627972096/z61evZob_400x400.jpg,https://x.com/C6neco_rrrr,https://www.twitch.tv/c46_neco,,,鹿児島,Kochi,高知,,true,true,true
76561199494029805,Added,797789392499507201,_kogun,こぐん,Cogun,https://pbs.twimg.com/profile_images/1900081200854949891/uEz1hGx8_400x400.jpg,https://x.com/tetomyou,,,,鹿児島,Kochi,高知,,true,true,true
76561199121860174,Added,773528645012553769,_poku,ヤムヤム,yum yum,https://pbs.twimg.com/profile_images/1826192353935110144/mMZblyhj_400x400.jpg,https://x.com/ve77868100170,,,,鹿児島,Kochi,高知,,true,true,true
